,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
220112,Vol dans / sur véhicule à moteur,2023-01-20,jour,39.0,295434.781004747,5052250.00000378,-73.62007,45.610089
220114,Méfait,2023-02-01,jour,48.0,300072.482998822,5049147.71199112,-73.560581,45.582221
220115,Méfait,2023-02-01,jour,48.0,301568.603008311,5048436.10000098,-73.541404,45.575826
220116,Introduction,2023-02-01,soir,22.0,300655.925994534,5042437.8480031295,-73.553048,45.521847
220117,Vol dans / sur véhicule à moteur,2023-02-01,soir,8.0,293045.624989328,5034116.9999944,-73.650266,45.446885
220118,Vol dans / sur véhicule à moteur,2023-01-21,soir,39.0,293553.280996688,5049930.49999246,-73.644139,45.589189
220119,Méfait,2023-01-22,jour,7.0,287941.796,5040920.134,-73.715746,45.507998
220278,Vol dans / sur véhicule à moteur,2023-01-23,jour,22.0,300343.738004182,5043491.47800478,-73.557053,45.531326
220296,Vol dans / sur véhicule à moteur,2023-02-01,jour,8.0,292946.781005481,5033937.99999123,-73.651525,45.445273
220297,Vol de véhicule à moteur,2023-02-01,jour,42.0,298226.344002574,5048614.49999882,-73.584231,45.577408
220298,Vol de véhicule à moteur,2023-02-01,jour,3.0,273194.569,5035183.116,-73.904103,45.455863
220299,Introduction,2023-02-01,jour,15.0,298127.100996992,5035046.68199347,-73.585318,45.455318
220300,Méfait,2023-01-19,nuit,23.0,301967.186991046,5045626.11700506,-73.536281,45.550542
220301,Vol de véhicule à moteur,2023-02-01,nuit,3.0,274372.934,5035850.936,-73.889079,45.461924
220302,Vol de véhicule à moteur,2023-01-31,nuit,1.0,278503.667993466,5034187.86599123,-73.83617,45.447127
220303,Vol de véhicule à moteur,2023-01-30,soir,42.0,296109.196,5051087.405,-73.611403,45.599636
220305,Vol de véhicule à moteur,2023-01-30,soir,46.0,299675.1920076,5050910.87299755,-73.565691,45.598083
220307,Vol dans / sur véhicule à moteur,2023-01-24,jour,26.0,295797.546,5040825.557,-73.615209,45.507293
220308,Vol de véhicule à moteur,2023-01-30,jour,20.0,299545.000000542,5039801.367999369,-73.56724,45.498115
220309,Introduction,2023-01-30,nuit,22.0,300613.088000477,5044193.60399925,-73.553611,45.537645
220310,Vols qualifiés,2023-01-30,nuit,26.0,295484.3400097711,5039454.57699159,-73.619191,45.494952
220311,Vols qualifiés,2023-01-30,nuit,26.0,295484.3400097711,5039454.57699159,-73.619191,45.494952
220313,Vol de véhicule à moteur,2023-01-27,soir,7.0,289317.138350348,5037884.73297847,-73.698049,45.480716
220314,Vol de véhicule à moteur,2023-01-27,jour,46.0,299675.1920076,5050910.87299755,-73.565691,45.598083
220315,Vol de véhicule à moteur,2023-01-27,jour,46.0,299675.1920076,5050910.87299755,-73.565691,45.598083
220316,Vol de véhicule à moteur,2023-01-27,jour,7.0,289317.138350348,5037884.73297847,-73.698049,45.480716
220317,Vol dans / sur véhicule à moteur,2023-01-26,soir,20.0,299545.000000542,5039801.367999369,-73.56724,45.498115
