,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
213637,Introduction,2023-01-21,soir,22.0,300898.363006265,5043297.59399344,-73.549951,45.529584
213638,Méfait,2023-01-21,soir,30.0,297516.291990914,5047174.71800249,-73.593308,45.564445
213639,Introduction,2023-01-21,soir,7.0,286319.43631570094,5040924.44385815,-73.736508,45.507996
213640,Méfait,2023-01-22,nuit,42.0,296316.781008189,5050010.0000001695,-73.608723,45.589944
213641,Introduction,2023-01-22,nuit,31.0,294230.379,5043572.061,-73.635324,45.531985
213642,Vol de véhicule à moteur,2023-01-22,nuit,42.0,297567.905999644,5049199.99999191,-73.592677,45.582669
213643,Méfait,2023-01-22,jour,50.0,299245.433,5040529.064,-73.571081,45.504661
213644,Vol de véhicule à moteur,2023-01-22,jour,15.0,297750.807991703,5035790.02700731,-73.59014,45.462003
213645,Vol de véhicule à moteur,2023-01-22,jour,42.0,298743.524005598,5049893.15599673,-73.57762,45.588918
213646,Vol dans / sur véhicule à moteur,2023-01-22,jour,26.0,294561.087,5040054.686,-73.631017,45.500339
213647,Vol de véhicule à moteur,2023-01-22,soir,27.0,293281.968002826,5048924.53900316,-73.647593,45.580133
213648,Vol dans / sur véhicule à moteur,2023-01-22,soir,9.0,295302.369004162,5036070.14800312,-73.621454,45.464495
213649,Introduction,2023-01-22,soir,9.0,295302.369004162,5036070.14800312,-73.621454,45.464495
213650,Vols qualifiés,2023-01-22,soir,39.0,295315.31299333,5052643.00000242,-73.62161,45.613623
213804,Introduction,2023-01-22,soir,39.0,292963.0,5049749.382,-73.6517,45.58755
213805,Vol de véhicule à moteur,2023-01-23,nuit,39.0,296055.423,5052169.758,-73.612112,45.609375
213806,Vol dans / sur véhicule à moteur,2023-01-23,nuit,42.0,295916.7810092031,5049251.50000209,-73.613836,45.583114
213807,Vol de véhicule à moteur,2023-01-23,nuit,26.0,295294.29000829,5038486.64900847,-73.621604,45.48624
213810,Méfait,2023-01-23,jour,27.0,293281.968002826,5048924.53900316,-73.647593,45.580133
213811,Méfait,2023-01-16,jour,9.0,296729.589996882,5037235.52099119,-73.603222,45.474999
213812,Vol de véhicule à moteur,2023-01-23,jour,26.0,296766.110007563,5042400.41300359,-73.60284,45.521476
213813,Vol dans / sur véhicule à moteur,2023-01-23,jour,22.0,300745.595991635,5043063.59399186,-73.551905,45.527478
213815,Introduction,2023-01-23,soir,39.0,295214.999995982,5051655.50000429,-73.622876,45.604736
213816,Vols qualifiés,2023-01-23,soir,23.0,300784.987,5045213.113,-73.551418,45.54682
213818,Méfait,2023-01-24,nuit,50.0,300757.711,5042597.38,-73.551746,45.523283
213819,Vol de véhicule à moteur,2023-01-24,jour,48.0,303948.215,5049489.21,-73.510916,45.585309
213820,Vol dans / sur véhicule à moteur,2023-01-24,jour,5.0,279528.938,5035518.0,-73.823131,45.459134
213821,Méfait,2023-01-24,jour,50.0,299245.433,5040529.064,-73.571081,45.504661
213822,Méfait,2023-01-24,jour,50.0,298627.461293,5039531.172402,-73.578977,45.495676
213823,Méfait,2023-01-24,jour,50.0,295914.3257,5044356.553416,-73.613779,45.539067
213824,Vol de véhicule à moteur,2023-01-24,jour,48.0,302905.91200315,5050157.60200491,-73.524276,45.591321
213825,Introduction,2023-01-24,jour,31.0,295422.28999854,5045796.56699664,-73.620107,45.552019
213826,Vol de véhicule à moteur,2023-01-24,jour,48.0,303555.78000375605,5050433.54100657,-73.515947,45.593806
213827,Vol de véhicule à moteur,2023-01-24,jour,10.0,287451.393,5043246.937,-73.722104,45.528923
213833,Vol de véhicule à moteur,2023-01-24,jour,26.0,294802.625010636,5041423.14500127,-73.627954,45.512656
213835,Vols qualifiés,2023-01-24,soir,10.0,287560.097006609,5043598.9849962,-73.720725,45.532094
213836,Méfait,2023-01-24,soir,50.0,300757.711,5042597.38,-73.551746,45.523283
213837,Méfait,2023-01-24,soir,46.0,300941.412003924,5052620.37300648,-73.549473,45.613474
213838,Vols qualifiés,2023-01-24,soir,10.0,287560.097006609,5043598.9849962,-73.720725,45.532094
213839,Vol dans / sur véhicule à moteur,2023-01-24,soir,39.0,293532.634990468,5050399.67099798,-73.644415,45.593411
213840,Vol de véhicule à moteur,2023-01-24,soir,46.0,298947.094003948,5052165.99999287,-73.575038,45.609371
213842,Vol dans / sur véhicule à moteur,2023-01-24,soir,42.0,298072.688,5048089.5,-73.586193,45.572682
213844,Vol dans / sur véhicule à moteur,2023-01-24,jour,48.0,303948.215,5049489.21,-73.510916,45.585309
213848,Vol de véhicule à moteur,2023-01-25,jour,44.0,300488.848994119,5045339.07500788,-73.555212,45.547952
213849,Méfait,2023-01-25,jour,26.0,292978.33998945,5040359.21000639,-73.651277,45.503054
213850,Vol dans / sur véhicule à moteur,2023-01-25,jour,4.0,280651.624999199,5038933.00000857,-73.808944,45.489903
213854,Introduction,2023-01-25,jour,7.0,289112.750000771,5040608.50000349,-73.70075,45.505221
213855,Introduction,2023-01-25,jour,9.0,291992.813007505,5037775.49999535,-73.66382,45.479788
214014,Méfait,2023-01-25,jour,42.0,298225.239993171,5048386.13799722,-73.584242,45.575353
214015,Vol dans / sur véhicule à moteur,2023-01-25,jour,9.0,294604.287001897,5037754.1910051,-73.630416,45.479639
214016,Vol de véhicule à moteur,2023-01-25,jour,13.0,296176.7209946211,5034170.925000089,-73.61024,45.447416
214017,Vol de véhicule à moteur,2023-01-25,jour,23.0,300450.022,5044441.22,-73.555701,45.539872
214018,Vol de véhicule à moteur,2023-01-25,soir,5.0,279917.495998491,5035734.75999352,-73.818174,45.461098
214019,Vol de véhicule à moteur,2023-01-25,soir,42.0,298583.188002583,5049564.99999302,-73.579671,45.585964
214020,Vol de véhicule à moteur,2023-01-25,soir,31.0,296710.859003655,5045774.66900294,-73.603603,45.551838
214022,Vol de véhicule à moteur,2023-01-25,soir,48.0,302729.427,5049772.047,-73.526536,45.587851
214023,Vol de véhicule à moteur,2023-01-25,soir,7.0,286846.543886,5042377.844862,-73.729816,45.521088
214024,Vol de véhicule à moteur,2023-01-26,nuit,26.0,295154.443997359,5041318.66700803,-73.623449,45.511721
214025,Vol de véhicule à moteur,2023-01-26,nuit,20.0,299602.687999652,5038999.24100263,-73.566493,45.490897
214026,Vol de véhicule à moteur,2023-01-26,nuit,10.0,289295.31200926,5043035.50700622,-73.698491,45.527064
214027,Vol de véhicule à moteur,2023-01-26,nuit,13.0,297263.323,5031816.79,-73.596313,45.426245
214028,Méfait,2023-01-26,nuit,50.0,298627.461293,5039531.172402,-73.578977,45.495676
214030,Vol dans / sur véhicule à moteur,2023-01-26,jour,16.0,299802.781001393,5036797.50000194,-73.563911,45.471087
214031,Méfait,2023-01-24,soir,50.0,300026.312,5041712.579,-73.5611,45.515316
214032,Vols qualifiés,2023-01-24,soir,10.0,287527.398003384,5043566.48499547,-73.721142,45.531801
